2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	GSK3B
(2R,3R)-N^1^-[(1S)-2,2-DIMETHYL-1-(METHYLCARBAMOYL)PROPYL]-N^4^-HYDROXY-2-(2-METHYLPROPYL)-3-{[(1,3-THIAZOL-2-YLCARBONYL)AMINO]METHYL}BUTANEDIAMIDE	ADAM28
CLONIDINE	ADRA1D
CLONIDINE	ADRA1B
CLONIDINE	ADRA2A
CLONIDINE	ADRA2B
CLONIDINE	ADRA2C
CLONIDINE	ADRA1A
CR665	OPRK1
LIPOSOMAL PROSTAGLANDIN E1	GP1BA
(S)-2-((S)-3-ISOBUTYL-2,5-DIOXO-4-QUINOLIN-3-YLMETHYL-[1,4]DIAZEPAN-1YL)-N-METHYL-3-NAPHTALEN-2-YL-PROPIONAMIDE	ITGAL
2-[(3-HYDROXY-2-METHYL-5-PHOSPHONOOXYMETHYL-PYRIDIN-4-YLMETHYL)-IMINO]-5-PHOSPHONO-PENT-3-ENOIC ACID	CTH
TERT-BUTYL 4-({[4-(BUT-2-YN-1-YLAMINO)PHENYL]SULFONYL}METHYL)-4-[(HYDROXYAMINO)CARBONYL]PIPERIDINE-1-CARBOXYLATE	MMP13
EFLORNITHINE	ODC1
5-(DODECYLTHIO)-1H-1,2,3-TRIAZOLE-4-CARBOXYLIC ACID	HAO1
(2R)-3-{[(4Z)-5,6-DIPHENYL-6,7-DIHYDRO-4H-PYRROLO[2,3-D]PYRIMIDIN-4-YLIDENE]AMINO}PROPANE-1,2-DIOL	CHEK1
N-ANTHRACEN-2-YL-5-METHYL[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-AMINE	DHODH
2,6-DIAMINO-(S)-9-[2-(PHOSPHONOMETHOXY)PROPYL]PURINE	PNP
CLX-0921	PPARG
2-AMINO-3-(5-TERT-BUTYL-3-(PHOSPHONOMETHOXY)-4-ISOXAZOLYL)PROPIONIC ACID	GRIA2
ELLAGIC ACID	PRKACA
ELLAGIC ACID	CA5B
ELLAGIC ACID	CA5A
ELLAGIC ACID	CSNK2A1
ELLAGIC ACID	CA3
ELLAGIC ACID	CA9
ELLAGIC ACID	PRKCA
ELLAGIC ACID	SYK
ELLAGIC ACID	CA1
ELLAGIC ACID	CA14
ELLAGIC ACID	CA7
ELLAGIC ACID	CA2
ELLAGIC ACID	SQLE
ELLAGIC ACID	CA6
ELLAGIC ACID	PRKCB
ELLAGIC ACID	CA4
ELLAGIC ACID	CA12
TETRAHYDROPALMATINE	DRD2
TETRAHYDROPALMATINE	DRD1
VX-148	IMPDH2
VX-148	IMPDH1
AICA RIBONUCLEOTIDE	ATIC
CAPECITABINE	TYMS
N-[2-CHLORO-5-(TRIFLUOROMETHYL)PHENYL]IMIDODICARBONIMIDIC DIAMIDE	TYMS
GABEXATE	PLG
GABEXATE	KLKB1
GABEXATE	F2
TRIFLUSAL	NFKB1
TRIFLUSAL	PDE10A
TRIFLUSAL	PTGS1
TRIFLUSAL	NOS2
CRA_9334	PRSS1
HEROIN	OPRD1
HEROIN	CES1
HEROIN	OPRM1
HEROIN	OPRK1
NAPROXEN	PTGS1
NAPROXEN	PTGS2
3-AMINO-3-BENZYL-9-CARBOXAMIDE[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE	F2
TRIFLUPROMAZINE	DRD1
TRIFLUPROMAZINE	CHRM1
TRIFLUPROMAZINE	HTR2B
TRIFLUPROMAZINE	CHRM2
TRIFLUPROMAZINE	DRD2
N-[7-(3-AMINOPHENYL)-5-METHOXY-1,3-BENZOXAZOL-2-YL]-2,5-DICHLOROBENZENESULFONAMIDE	FBP1
7-METHOXY-8-[1-(METHYLSULFONYL)-1H-PYRAZOL-4-YL]NAPHTHALENE-2-CARBOXIMIDAMIDE	PLAU
THEOBROMINE	ADORA2A
THEOBROMINE	PDE4B
THEOBROMINE	ADORA1
FIDARESTAT	AKR1B10
FIDARESTAT	AKR1B1
MOEXIPRIL	ACE
MOEXIPRIL	ACE2
THIAMINE	SLC19A2
THIAMINE	TPK1
MB-07803	FBP1
BRADANICLINE	CHRNA7
CP-166572, 2-HYDROXYMETHYL-4-(4-N,N-DIMETHYLAMINOSULFONYL-1-PIPERAZINO)-PYRIMIDINE	SORD
URIDINE 5-TRIPHOSPHATE	UCK2
N5-(1-IMINO-3-BUTENYL)-L-ORNITHINE	NOS1
NICARDIPINE	ADRA1A
NICARDIPINE	PDE1B
NICARDIPINE	CALM1
NICARDIPINE	CACNB2
NICARDIPINE	CACNA1D
NICARDIPINE	PDE1A
NICARDIPINE	ADRA1B
NICARDIPINE	CHRM5
NICARDIPINE	CACNA2D1
NICARDIPINE	CHRM4
NICARDIPINE	CHRM2
NICARDIPINE	CACNA1C
NICARDIPINE	CHRM3
NICARDIPINE	CHRM1
NICARDIPINE	ADRA1D
[2(R,S)-2-SULFANYLHEPTANOYL]-PHE-ALA	MME
CLENBUTEROL	ADRB2
CLENBUTEROL	ADRB3
CLENBUTEROL	NGF
CLENBUTEROL	TNF
CLENBUTEROL	ADRB1
5,6-DICHLORO-1-BETA-D-RIBOFURANOSYL-1H-BENZIMIDAZOLE	CSNK2A1
(2Z)-2-CYANO-N-(2,2-DICHLOROBIPHENYL-4-YL)-3-HYDROXYBUT-2-ENAMIDE	DHODH
NATALIZUMAB	ICAM1
NATALIZUMAB	FCGR2C
NATALIZUMAB	ITGA4
NATALIZUMAB	FCGR3B
NATALIZUMAB	C1QB
NATALIZUMAB	C1R
NATALIZUMAB	C1QC
NATALIZUMAB	FCGR3A
NATALIZUMAB	FCGR2A
NATALIZUMAB	C1QA
NATALIZUMAB	FCGR2B
NATALIZUMAB	FCGR1A
MYRISTOYL-COA	NMT2
MYRISTOYL-COA	NMT1
CRA_8696	PRSS1
CRA_8696	PLAU
CRA_8696	F2
2-[(1S)-1-BENZYL-2-SULFANYLETHYL]-1H-IMIDAZO[4,5-C]PYRIDIN-5-IUM	MME
4-AMINO-2-[(3-CHLOROPHENYL)AMINO]-5-(4-FLUOROBENZOYL)-1,3-THIAZOL-3-IUM	CSNK1G3
3,8-DIBROMO-7-HYDROXY-4-METHYL-2H-CHROMEN-2-ONE	CSNK2A1
9-DEAZAINOSINE	PNP
3-[(1E,7E)-8-(2,6-DIOXO-1,2,3,6-TETRAHYDROPYRIMIDIN-4-YL)-3,6-DIOXA-2,7-DIAZAOCTA-1,7-DIEN-1-YL]BENZOIC ACID	UNG
TRICARBALLYLIC ACID	ACO2
HALOTHANE	KCNJ3
HALOTHANE	KCNMA1
HALOTHANE	KCNJ6
HALOTHANE	MT-ND1
HALOTHANE	KCNK9
HALOTHANE	RHO
HALOTHANE	GRIN3B
HALOTHANE	NPSR1
HALOTHANE	GRIN2A
HALOTHANE	GRIN3A
HALOTHANE	GABRA1
HALOTHANE	KCNN4
HALOTHANE	KCNK3
HALOTHANE	ATP5D
HALOTHANE	ATP2C1
HALOTHANE	GLRA1
HALOTHANE	GNG2
GRANISETRON	HTR3A
2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE	STMN4
2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE	TUBA1A
2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE	TUBB2B
2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE	TUBA1C
2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE	TUBA1B
(5S)-2-(CYCLOOCTYLAMINO)-5-METHYL-5-PROPYL-1,3-THIAZOL-4(5H)-ONE	HSD11B1
ABATACEPT	CD86
ABATACEPT	CD80
ELAFIN	PRTN3
ELAFIN	ELANE
LAX-101	CASP1
LAX-101	PLD1
GLIMEPIRIDE	ABCC8
GLIMEPIRIDE	KCNJ11
GLIMEPIRIDE	KCNJ1
PSN357	PYGL
COPROPORPHYRINOGEN III	UROD
5-[(E)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-[2-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE	CAMK1G
4-(1H-IMIDAZOL-4-YL)-3-(5-ETHYL-2,4-DIHYDROXY-PHENYL)-1H-PYRAZOLE	HSP90AA1
TRIPROLIDINE	HRH1
ALPHA-D-MANNOSE 6-PHOSPHATE	IGF2R
ALPHA-D-MANNOSE 6-PHOSPHATE	M6PR
2-({4-[4-(PYRIDIN-4-YLMETHYL)-1H-PYRAZOL-3-YL]PHENOXY}METHYL)QUINOLINE	PDE10A
MEVASTATIN	HMGCR
CANAGLIFLOZIN	SLC5A1
CANAGLIFLOZIN	SLC5A2
6-CYCLOHEXYLMETHYLOXY-2-(4-HYDROXYANILINO)PURINE	CCNA2
6-CYCLOHEXYLMETHYLOXY-2-(4-HYDROXYANILINO)PURINE	CDK2
(2R)-1-[(4-TERT-BUTYLPHENYL)SULFONYL]-2-METHYL-4-(4-NITROPHENYL)PIPERAZINE	HSD11B1
FLUOROMETHOLONE	NR3C1
4-(4-FLUOROPHENYL)-1-CYCLOROPROPYLMETHYL-5-(4-PYRIDYL)-IMIDAZOLE	MAPK14
N-(2-HYDROXYBENZYL)-2,5-DIMETHOXY-4-CYANOPHENYLETHYLAMINE	HTR2A
6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID	F2
(2S)-2-ETHOXY-3-{4-[2-(10H-PHENOXAZIN-10-YL)ETHOXY]PHENYL}PROPANOIC ACID	PPARG
EMPAGLIFLOZIN	SLC5A2
STREPTOZOCIN	MGEA5
STREPTOZOCIN	SLC2A2
2-(1,1-BIPHENYL-4-YL)PROPANOIC ACID	PTGS1
COMPOUND 18	ESR1
OSI-7904L	TYMS
3H-PYRAZOLO[4,3-D]PYRIMIDIN-7-OL	HPRT1
(5E,13E)-11-HYDROXY-9,15-DIOXOPROSTA-5,13-DIEN-1-OIC ACID	PTGR1
(5E,13E)-11-HYDROXY-9,15-DIOXOPROSTA-5,13-DIEN-1-OIC ACID	PTGR2
2-[3-(2-HYDROXY-1,1-DIHYDROXYMETHYL-ETHYLAMINO)-PROPYLAMINO]-2-HYDROXYMETHYL-PROPANE-1,3-DIOL	PDE4D
DOXORUBICIN	NOLC1
DOXORUBICIN	TOP2A
{[5-(5-NITRO-2-FURYL)-1,3,4-OXADIAZOL-2-YL]THIO}ACETIC ACID	AKR1B1
7-IODO-1,2,3,4-TETRAHYDRO-ISOQUINOLINE	PNMT
COAGULATION FACTOR VII HUMAN	F3
COAGULATION FACTOR VII HUMAN	F9
COAGULATION FACTOR VII HUMAN	F10
NECITUMUMAB	EGFR
3-FLUORO-N-1H-INDOL-5-YL-5-MORPHOLIN-4-YLBENZAMIDE	MAPK14
DIBOTERMIN ALFA	BMPR2
DIBOTERMIN ALFA	BMPR1A
CHOLECYSTOKININ	RAF1
CHOLECYSTOKININ	PRKCB
CHOLECYSTOKININ	EGF
CHOLECYSTOKININ	CCKBR
CHOLECYSTOKININ	CCKAR
CHOLECYSTOKININ	MAPK3
TRAMADOL	OPRK1
TRAMADOL	SLC6A2
TRAMADOL	GRIN3A
TRAMADOL	OPRM1
TRAMADOL	CHRNA7
TRAMADOL	SLC6A4
TRAMADOL	HTR2C
TRAMADOL	OPRD1
TRAMADOL	CHRM3
CABAZITAXEL	TUBB1
CABAZITAXEL	TUBA4A
(S,R)-FIDARESTAT	AKR1B1
GERANYL DIPHOSPHATE	GGPS1
GERANYL DIPHOSPHATE	FDPS
R1295	ITGA4
R1295	ITGB7
R1295	ITGB4
RPI-78M	CHRNB2
RPI-78M	CHRNA7
RPI-78M	CHRNA2
RPI-78M	CHRNA9
RPI-78M	CHRNA10
RPI-78M	CHRNA4
TOLAZOLINE	HRH2
TOLAZOLINE	ADRA2B
TOLAZOLINE	ADRA2A
TOLAZOLINE	ADRA2C
TOLAZOLINE	HRH1
TOLAZOLINE	ADRA1A
3-{[(3-FLUORO-3-METHOXYBIPHENYL-4-YL)AMINO]CARBONYL}THIOPHENE-2-CARBOXYLIC ACID	DHODH
2-{4-[(4-IMIDAZO[1,2-A]PYRIDIN-3-YLPYRIMIDIN-2-YL)AMINO]PIPERIDIN-1-YL}-N-METHYLACETAMIDE	MAPK10
AMINOPHOSPHONIC ACID-GUANYLATE ESTER	CDC42
1-BETA-RIBOFURANOSYL-1,3-DIAZEPINONE	CDA
XEN2174	SLC6A2
BETA-MERCAPTOETHANOL	SERPINA1
BETA-MERCAPTOETHANOL	PNPO
BETA-MERCAPTOETHANOL	GLO1
BETA-MERCAPTOETHANOL	LGALS1
BETA-MERCAPTOETHANOL	SCMH1
MMI-175	BACE1
OMACETAXINE MEPESUCCINATE	RPL3
HESPERETIN	MTTP
HESPERETIN	SOAT1
HESPERETIN	SHBG
HESPERETIN	SOAT2
BROMFENAC	PTGS2
BROMFENAC	PTGS1
TECHNETIUM TC-99M NOFETUMOMAB MERPENTAN	EPCAM
TECHNETIUM TC-99M NOFETUMOMAB MERPENTAN	MS4A1
ZUCAPSAICIN	TRPV1
ACALABRUTINIB	BTK
[[CYCLOHEXANESULFONYL-GLYCYL]-3[PYRIDIN-4-YL-AMINOMETHYL]ALANYL]PIPERIDINE	F2
2-(1H-PYRROL-1-YLCARBONYL)BENZENE-1,3,5-TRIOL	HSP90AA1
CAT-213	CCL11
(2S)-2-(3-BROMOPHENYL)-3-(5-CHLORO-2-HYDROXYPHENYL)-1,3-THIAZOLIDIN-4-ONE	ACTR3
(2S)-2-(3-BROMOPHENYL)-3-(5-CHLORO-2-HYDROXYPHENYL)-1,3-THIAZOLIDIN-4-ONE	ARPC4
(2S)-2-(3-BROMOPHENYL)-3-(5-CHLORO-2-HYDROXYPHENYL)-1,3-THIAZOLIDIN-4-ONE	ARPC1B
(2S)-2-(3-BROMOPHENYL)-3-(5-CHLORO-2-HYDROXYPHENYL)-1,3-THIAZOLIDIN-4-ONE	ARPC2
(2S)-2-(3-BROMOPHENYL)-3-(5-CHLORO-2-HYDROXYPHENYL)-1,3-THIAZOLIDIN-4-ONE	ACTR2
(2S)-2-(3-BROMOPHENYL)-3-(5-CHLORO-2-HYDROXYPHENYL)-1,3-THIAZOLIDIN-4-ONE	ARPC5
(2S)-2-(3-BROMOPHENYL)-3-(5-CHLORO-2-HYDROXYPHENYL)-1,3-THIAZOLIDIN-4-ONE	ARPC3
GRN163L	SCYL1
GRN163L	SMG6
GRN163L	TERT
GRN163L	PTGES3
SALICYLIC ACID	PTGS2
SALICYLIC ACID	AKR1C1
SALICYLIC ACID	PTGS1
3-SULFINOALANINE	BLM
3-SULFINOALANINE	GSR
3-SULFINOALANINE	PAPOLA
3-SULFINOALANINE	PRDX2
4-PIPERIDIN-4-YLBUTANAL	PRSS1
4-PIPERIDIN-4-YLBUTANAL	TPSB2
6-(CYCLOHEXYLAMINO)-9-[2-(4-METHYLPIPERAZIN-1-YL)-ETHYL]-9H-PURINE-2-CARBONITRILE	CTSK
MEBENDAZOLE	TUBB4B
MEBENDAZOLE	TUBA1A
3-(9-HYDROXY-1,3-DIOXO-4-PHENYL-2,3-DIHYDROPYRROLO[3,4-C]CARBAZOL-6(1H)-YL)PROPANOIC ACID	WEE1
METOPRINE	HNMT
PYROPHOSPHORIC ACID	PURA
MEPROBAMATE	GABRA1
MEPROBAMATE	GABRA4
MEPROBAMATE	GABRA2
MEPROBAMATE	GABRA3
MEPROBAMATE	GABRA5
MEPROBAMATE	GABRA6
CHLORMERODRIN	SLC12A1
CHLORMERODRIN	ALDH5A1
GUANOSINE 5-DIPHOSPHATE 2:3-CYCLIC MONOPHOSPHATE	RELA
GUANOSINE 5-DIPHOSPHATE 2:3-CYCLIC MONOPHOSPHATE	PURA
MONASTROL	KIF11
PHOLCODINE	OPRM1
PHOLCODINE	OPRK1
PHOLCODINE	OPRD1
CANFOSFAMIDE	GSTP1
N-(5-CHLORO-1,3-BENZODIOXOL-4-YL)-N-(3-METHYLSULFONYLPHENYL)PYRIMIDINE-2,4-DIAMINE	EPHB4
METHACRYLYL-COENZYME A	ACAD8
SUMANIROLE	DRD3
SUMANIROLE	DRD4
SUMANIROLE	DRD2
ICATIBANT	ANPEP
ICATIBANT	BDKRB2
LOTEPREDNOL	NR3C1
ELTROMBOPAG	MPL
GERANYLGERANYL DIPHOSPHATE	FDPS
GERANYLGERANYL DIPHOSPHATE	RABGGTB
GERANYLGERANYL DIPHOSPHATE	RABGGTA
GERANYLGERANYL DIPHOSPHATE	FNTB
GERANYLGERANYL DIPHOSPHATE	GGPS1
GERANYLGERANYL DIPHOSPHATE	PGGT1B
GERANYLGERANYL DIPHOSPHATE	FNTA
6-(CYCLOHEXYLMETHOXY)-8-ISOPROPYL-9H-PURIN-2-AMINE	CDK2
3-PHENYL-1,2-PROPANDIOL	REN
(4S,5E,7Z,10Z,13Z,16Z,19Z)-4-HYDROXYDOCOSA-5,7,10,13,16,19-HEXAENOIC ACID	PPARG
{4-[(2S,4E)-2-(1,3-BENZOTHIAZOL-2-YL)-2-(1H-1,2,3-BENZOTRIAZOL-1-YL)-5-PHENYLPENT-4-ENYL]PHENYL}(DIFLUORO)METHYLPHOSPHONIC ACID	PTPN1
M-(N,N,N-TRIMETHYLAMMONIO)-2,2,2-TRIFLUORO-1,1-DIHYDROXYETHYLBENZENE	ACHE
1-(2,2-BITHIOPHEN-5-YL)METHANAMINE	LTA4H
DIMETHYLTRYPTAMINE	SIGMAR1
DIMETHYLTRYPTAMINE	HTR6
DIMETHYLTRYPTAMINE	HTR2A
CANDESARTAN CILEXETIL	AGTR1
DIHYDROERGOTAMINE	HTR2B
DIHYDROERGOTAMINE	ADRA2A
DIHYDROERGOTAMINE	HTR1B
DIHYDROERGOTAMINE	HTR1D
(2,2-DIPHOSPHONOETHYL)(DODECYL)DIMETHYLPHOSPHONIUM	GGPS1
(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE	CYP2A6
GINSENOSIDE RB1	SLCO1B3
5-[2-(4-HYDROXYPHENYL)ETHYL]BENZENE-1,3-DIOL	LTA4H
N-HEPTYLFORMAMIDE	ADH1B
MECLIZINE	NR1I3
MECLIZINE	HRH1
3-HYDROXY-3-METHYL-GLUTARIC ACID	HMGCR
PRILOCAINE	SCN5A
ENZALUTAMIDE	AR
5,7-DIHYDROXY-2-(3,4,5-TRIHYDROXYPHENYL)-4H-CHROMEN-4-ONE	PIM1
NIZATIDINE	HRH2
METHYL (3S)-3-[(TERT-BUTOXYCARBONYL)AMINO]-4-OXOPENTANOATE	CASP3
TARENFLURBIL	IKBKG
FLECAINIDE	KCNH2
FLECAINIDE	SCN5A
FLECAINIDE	SCN4A
ANILERIDINE	OPRM1
ETANERCEPT	C1QA
ETANERCEPT	FCGR2B
ETANERCEPT	FCGR1A
ETANERCEPT	FCGR2A
ETANERCEPT	FCGR3A
ETANERCEPT	C1R
ETANERCEPT	C1QC
ETANERCEPT	FCGR3B
ETANERCEPT	C1QB
ETANERCEPT	TNFRSF1B
ETANERCEPT	C1S
ETANERCEPT	LTA
ETANERCEPT	FCGR2C
ETANERCEPT	TNF
5-AMINO-3-{[4-(AMINOSULFONYL)PHENYL]AMINO}-N-(2,6-DIFLUOROPHENYL)-1H-1,2,4-TRIAZOLE-1-CARBOTHIOAMIDE	CLK3
5-AMINO-3-{[4-(AMINOSULFONYL)PHENYL]AMINO}-N-(2,6-DIFLUOROPHENYL)-1H-1,2,4-TRIAZOLE-1-CARBOTHIOAMIDE	CAMK4
5-AMINO-3-{[4-(AMINOSULFONYL)PHENYL]AMINO}-N-(2,6-DIFLUOROPHENYL)-1H-1,2,4-TRIAZOLE-1-CARBOTHIOAMIDE	ABL2
5-AMINO-3-{[4-(AMINOSULFONYL)PHENYL]AMINO}-N-(2,6-DIFLUOROPHENYL)-1H-1,2,4-TRIAZOLE-1-CARBOTHIOAMIDE	SLK
5-AMINO-3-{[4-(AMINOSULFONYL)PHENYL]AMINO}-N-(2,6-DIFLUOROPHENYL)-1H-1,2,4-TRIAZOLE-1-CARBOTHIOAMIDE	CSNK1G3
METHYLPHENIDATE	SLC6A2
METHYLPHENIDATE	SLC6A4
METHYLPHENIDATE	SLC6A3
N-METHYL-{4-[2-(7-OXO-6,7-DIHYDRO-8H-[1,3]THIAZOLO[5,4-E]INDOL-8-YLIDENE)HYDRAZINO]PHENYL}METHANESULFONAMIDE	CDK2
2S,4R-4-METHYLGLUTAMATE	GRIK2
(2Z)-2-CYANO-N-(3-ETHOXYBIPHENYL-4-YL)-3-HYDROXYBUT-2-ENAMIDE	DHODH
CTS-1027	MMP13
4-(1R,3AS,4R,8AS,8BR)-[1-DIFLUOROMETHYL-2-(4-FLUOROBENZYL)-3-OXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZAMIDINE	F2
THIETHYLPERAZINE	DRD1
THIETHYLPERAZINE	DRD2
THIETHYLPERAZINE	DRD4
PRACTOLOL	ADRB1
PPL-100	SERPINA5
PPL-100	SERPING1
PPL-100	SERPINA1
SEMAXANIB	KDR
4-{[5-(CYCLOHEXYLAMINO)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE	CDK2
N-OMEGA-PROPYL-L-ARGININE	NOS1
N-OMEGA-PROPYL-L-ARGININE	NOS2
BLONANSERIN	DRD3
BLONANSERIN	HTR2A
BLONANSERIN	DRD2
ADENOSINE MONOTUNGSTATE	FHIT
DENOSUMAB	TNFSF11
PEROSPIRONE	HTR1A
PEROSPIRONE	DRD4
PEROSPIRONE	DRD2
PEROSPIRONE	HTR2A
PEROSPIRONE	HRH1
CARBETOCIN	OXTR
CHOLINE	PCYT1A
CHOLINE	PLD2
CHOLINE	CHRNA7
CHOLINE	BCHE
CHOLINE	ACHE
CHOLINE	PLD1
CHOLINE	PCYT1B
CHOLINE	PHOSPHO1
1-CYCLOPENTYL-3-(1H-PYRROLO[2,3-B]PYRIDIN-5-YL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	SRC
PX-12	TXNRD1
SORAFENIB	FLT1
SORAFENIB	FGFR1
SORAFENIB	PDGFRB
SORAFENIB	BRAF
SORAFENIB	FLT4
SORAFENIB	RAF1
SORAFENIB	FLT3
SORAFENIB	KIT
SORAFENIB	RET
SORAFENIB	KDR
(S)-5-(4-BENZYLOXY-PHENYL)-4-(7-PHENYL-HEPTANOYLAMINO)-PENTANOIC ACID	PLA2G2A
PLERIXAFOR	CXCR4
BENZPHETAMINE	ADRA2A
BENZPHETAMINE	SLC6A3
BENZPHETAMINE	ADRA1A
BENZPHETAMINE	SLC18A2
4-({[(4-METHYLPIPERAZIN-1-YL)AMINO]CARBONOTHIOYL}AMINO)BENZENESULFONAMIDE	CA2
6-(2-FLUOROPHENYL)-N-(PYRIDIN-3-YLMETHYL)IMIDAZO[1,2-A]PYRAZIN-8-AMINE	CDK2
DCKA, 5,7-DICHLOROKYNURENIC ACID	GRIN1
ASOPRISNIL	PGR
(2R)-N-[(2R)-2-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-N-[(5R)-5-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-L-PROLINAMIDE	DPP4
NRP409	THRA
NRP409	CRYM
D-PHENYLALANYL-N-(3-CHLOROBENZYL)-L-PROLINAMIDE	F2
1-(PHENYLMETHYL)CYCLOPENTYL[(1S)-1-FORMYLPENTYL]CARBAMATE	CTSK
ERYTHOSE-4-PHOSPHATE	GPI
FIBOFLAPON	ALOX5AP
N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE	CYP2A6
3-(INDOL-3-YL) LACTATE	HAO1
LEPTIN	LEPR
ADENOSINE-5-[BETA, GAMMA-METHYLENE]TRIPHOSPHATE	INSR
ADENOSINE-5-[BETA, GAMMA-METHYLENE]TRIPHOSPHATE	PDXK
ADENOSINE-5-[BETA, GAMMA-METHYLENE]TRIPHOSPHATE	PGK1
ADENOSINE-5-[BETA, GAMMA-METHYLENE]TRIPHOSPHATE	KIF1A
ADENOSINE-5-[BETA, GAMMA-METHYLENE]TRIPHOSPHATE	ATP2A1
PHENTOLAMINE	ADRA1A
PHENTOLAMINE	ADRA1B
PHENTOLAMINE	ADRA2A
PHENTOLAMINE	ADRA1D
(2S)-N-[(3S)-1-(2-AMINO-2-OXOETHYL)-2-OXO-1,2,3,4-TETRAHYDROQUINOLIN-3-YL]-2-CHLORO-2H-THIENO[2,3-B]PYRROLE-5-CARBOXAMIDE	PYGM
TOLFENAMIC ACID	PTGS2
TOLFENAMIC ACID	PTGS1
PITAVASTATIN	HMGCR
BUTYLSCOPOLAMINE	CHRM2
BUTYLSCOPOLAMINE	CHRM3
PHOSPHORIC ACID MONO-[3-AMINO-5-(5-METHYL-2,4-DIOXO-3,4-DIHYDRO-2H-PYRIMIDIN-1-YL)-TETRAHYDRO-FURAN-2-YLMETHYL] ESTER	DTYMK
EPHEDRA	SLC18A1
EPHEDRA	ADRB1
EPHEDRA	SLC6A4
EPHEDRA	SLC6A2
EPHEDRA	MAOB
EPHEDRA	ADRA2B
EPHEDRA	ADRB2
EPHEDRA	MAOA
EPHEDRA	ADRA2A
EPHEDRA	SLC18A2
EPHEDRA	ADRA2C
EPHEDRA	ADRB3
EPHEDRA	SLC6A3
O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL	PDXK
ETONOGESTREL	PGR
ETONOGESTREL	ESR1
TRODUSQUEMINE	PTPN1
TRODUSQUEMINE	SLC6A3
TRODUSQUEMINE	SLC6A2
ADINAZOLAM	GABRA2
ADINAZOLAM	GABRB1
ADINAZOLAM	GABRD
ADINAZOLAM	GABRA1
ADINAZOLAM	GABRG1
ADINAZOLAM	GABRR1
ADINAZOLAM	GABRB3
ADINAZOLAM	GABRR3
ADINAZOLAM	GABRR2
ADINAZOLAM	GABRA3
ADINAZOLAM	GABRB2
ADINAZOLAM	GABRG3
ADINAZOLAM	GABRA5
ADINAZOLAM	GABRP
ADINAZOLAM	GABRG2
ADINAZOLAM	GABRE
2,3-DIFLUOROBENZYL ALCOHOL	ADH1C
4-[(5-{[4-(3-CHLOROPHENYL)-3-OXOPIPERAZIN-1-YL]METHYL}-1H-IMIDAZOL-1-YL)METHYL]BENZONITRILE	FNTB
4-[(5-{[4-(3-CHLOROPHENYL)-3-OXOPIPERAZIN-1-YL]METHYL}-1H-IMIDAZOL-1-YL)METHYL]BENZONITRILE	PGGT1B
4-[(5-{[4-(3-CHLOROPHENYL)-3-OXOPIPERAZIN-1-YL]METHYL}-1H-IMIDAZOL-1-YL)METHYL]BENZONITRILE	FNTA
HUMAN RHO(D) IMMUNE GLOBULIN	RHD
CRA_11092	PRSS1
TAZAROTENE	RARG
TAZAROTENE	RARB
TAZAROTENE	RARA
TAZAROTENE	RXRB
N-(3,5-DIMETHOXYPHENYL)IMIDODICARBONIMIDIC DIAMIDE	TYMS
(3R)-8-(DIOXIDOSULFANYL)-3-METHYL-1,2,3,4-TETRAHYDROQUINOLINE	F2
TNX-901	FCER1A
